CODE;NAME;ICO;PARENT;PRIORITY
01.02;Мобильная связь;opl_mobile;;30
04;ЖКХ и домашний телефон;jkx;;40
08.01;Погашение кредита в другом банке;credit_dr_bank;;60
99.07.1;Благотворительные фонды, социальные и общественные организации;blagotv_fondy;;75
18;Товары и услуги;tovary_uslugi;;65
99;Инвестиции и страхование;pify;;70
25;Отдых и путешествия;otdyh_put;;100
18.03;Электронные деньги;e_dengi;;55
01;Интернет и ТВ;opl_internet;;35
06;Образование;obrazovanie;;50
05;ГИБДД, налоги, пошлины, бюджетные платежи;nalogi_gibdd;;45
99.07;Благотворительные фонды;;99.07.1;60
99.10;Общественные организации;;99.07.1;70
99.09;Социальные перечисления;;99.07.1;65
99.03;Финансовые организации;;99;80
99.04;ПИФы;pify;99;55
99.01;Страховые компании;strahovanie;99;70
99.02;Медицинское страхование;;99;75
02.01;Пополнение брокерских счетов;;99;60
99.05;Брокерские счета;brocker_schet;99;65
25.1;Билеты;bilety;25;50
25.2;Турагентства;turagent;25;55
99.99;Другие услуги;;18;40
99.08;Прочие услуги;;18;50
18.04;Онлайн игры;;18;80
99.12;Спорт и отдых;sport;18;70
99.13;Строительные организации;;18;75
99.11;Здоровье;medizina;18;65
18.02;Сетевой маркетинг;tovary_uslugi;18;55
99.06;Сетевой маркетинг;;18;60
18.01;Товары и услуги;;18;45
06.03;Другие образовательные учреждения;dop_obr;06;60
06.02;Детские сады и дошкольные учреждения;doshkoln;06;50
06.01;ВУЗы, школы, колледжи, техникумы;vuz;06;55
05.08;Федеральная регистрационная служба;nalog;05;60
05.09;Управление Федеральной миграционной службы;nalog;05;55
05.07;БТИ;tsg;05;80
05.02;ГИБДД;gibdd;05;40
05.04;Услуги, оказываемые ГИБДД;gibdd;05;50
05.05;Суды;nalog;05;65
05.03;Службы судебных приставов;sud_pristav;05;70
07.01;Пенсионные фонды;pfr;05;75
05.01;Федеральная налоговая служба;fns;05;45
04.07;ДЕЗы, ЖЭКи, ремонтные службы;jek;04;75
04.08;ДСК, садовые товарищества;sad;04;80
04.01;Квартплата;kvartpl;04;30
04.09;ГСК, автостоянки;garagh;04;70
04.10;Охранные услуги, домофон;ohrana;04;65
04.05;Теплоснабжение;teplo;04;60
04.03;Газ;gas;04;55
04.04;Водоснабжение;voda;04;50
04.02;ТСЖ, ЖСК;tsg;04;32
01.01;Домашний телефон;opl_phone;04;40
04.06;Электроэнергия;elektr;04;35
01.03;Интернет;opl_internet;01;50
01.04;ТВ;opl_tv;01;55
