NAME;SOCR;Region;Area;City;Settlement;Street;Level;Type
Кошехабльский;р-н;0001;002;000;000;0000;Area;201
Красногвардейский;р-н;0001;003;000;000;0000;Area;201
Майкопский;р-н;0001;004;000;000;0000;Area;201
Тахтамукайский;р-н;0001;005;000;000;0000;Area;201
Теучежский;р-н;0001;006;000;000;0000;Area;201
Шовгеновский;р-н;0001;007;000;000;0000;Area;201
Гиагинский;р-н;0001;008;000;000;0000;Area;201
Уфимский;р-н;0002;001;000;000;0000;Area;201
Альшеевский;р-н;0002;002;000;000;0000;Area;201
Архангельский;р-н;0002;003;000;000;0000;Area;201
Аскинский;р-н;0002;004;000;000;0000;Area;201
Аургазинский;р-н;0002;005;000;000;0000;Area;201
Баймакский;р-н;0002;006;000;000;0000;Area;201
Бакалинский;р-н;0002;007;000;000;0000;Area;201
Балтачевский;р-н;0002;008;000;000;0000;Area;201
Белебеевский;р-н;0002;009;000;000;0000;Area;201
Белокатайский;р-н;0002;010;000;000;0000;Area;201
Белорецкий;р-н;0002;011;000;000;0000;Area;201
Бижбулякский;р-н;0002;012;000;000;0000;Area;201
Бирский;р-н;0002;013;000;000;0000;Area;201
Благоварский;р-н;0002;014;000;000;0000;Area;201
Благовещенский;р-н;0002;015;000;000;0000;Area;201
Буздякский;р-н;0002;016;000;000;0000;Area;201
Бураевский;р-н;0002;017;000;000;0000;Area;201
Бурзянский;р-н;0002;018;000;000;0000;Area;201
Гафурийский;р-н;0002;019;000;000;0000;Area;201
Дуванский;р-н;0002;020;000;000;0000;Area;201
Ермекеевский;р-н;0002;021;000;000;0000;Area;201
Зианчуринский;р-н;0002;022;000;000;0000;Area;201
Зилаирский;р-н;0002;023;000;000;0000;Area;201
Иглинский;р-н;0002;024;000;000;0000;Area;201
Илишевский;р-н;0002;025;000;000;0000;Area;201
Ишимбайский;р-н;0002;026;000;000;0000;Area;201
Калтасинский;р-н;0002;027;000;000;0000;Area;201
Караидельский;р-н;0002;028;000;000;0000;Area;201
Кармаскалинский;р-н;0002;029;000;000;0000;Area;201
Кигинский;р-н;0002;030;000;000;0000;Area;201
Краснокамский;р-н;0002;031;000;000;0000;Area;201
Кугарчинский;р-н;0002;032;000;000;0000;Area;201
Куюргазинский;р-н;0002;033;000;000;0000;Area;201
Кушнаренковский;р-н;0002;034;000;000;0000;Area;201
Мелеузовский;р-н;0002;035;000;000;0000;Area;201
Мечетлинский;р-н;0002;036;000;000;0000;Area;201
Мишкинский;р-н;0002;037;000;000;0000;Area;201
Миякинский;р-н;0002;038;000;000;0000;Area;201
Нуримановский;р-н;0002;039;000;000;0000;Area;201
Салаватский;р-н;0002;040;000;000;0000;Area;201
Стерлибашевский;р-н;0002;041;000;000;0000;Area;201
Стерлитамакский;р-н;0002;042;000;000;0000;Area;201
Татышлинский;р-н;0002;043;000;000;0000;Area;201
Туймазинский;р-н;0002;044;000;000;0000;Area;201
Учалинский;р-н;0002;046;000;000;0000;Area;201
Федоровский;р-н;0002;047;000;000;0000;Area;201
Хайбуллинский;р-н;0002;048;000;000;0000;Area;201
Чекмагушевский;р-н;0002;049;000;000;0000;Area;201
Чишминский;р-н;0002;050;000;000;0000;Area;201
Шаранский;р-н;0002;051;000;000;0000;Area;201
Янаульский;р-н;0002;052;000;000;0000;Area;201
Абзелиловский;р-н;0002;053;000;000;0000;Area;201
Давлекановский;р-н;0002;059;000;000;0000;Area;201
Дюртюлинский;р-н;0002;060;000;000;0000;Area;201
Баунтовский эвенкийский;р-н;0003;002;000;000;0000;Area;201
Бичурский;р-н;0003;003;000;000;0000;Area;201
Джидинский;р-н;0003;004;000;000;0000;Area;201
Еравнинский;р-н;0003;005;000;000;0000;Area;201
Заиграевский;р-н;0003;006;000;000;0000;Area;201
Закаменский;р-н;0003;007;000;000;0000;Area;201
Иволгинский;р-н;0003;008;000;000;0000;Area;201
Кабанский;р-н;0003;009;000;000;0000;Area;201
Кижингинский;р-н;0003;010;000;000;0000;Area;201
Курумканский;р-н;0003;011;000;000;0000;Area;201
Кяхтинский;р-н;0003;012;000;000;0000;Area;201
Муйский;р-н;0003;013;000;000;0000;Area;201
Мухоршибирский;р-н;0003;014;000;000;0000;Area;201
Окинский;р-н;0003;015;000;000;0000;Area;201
Прибайкальский;р-н;0003;016;000;000;0000;Area;201
Северо-Байкальский;р-н;0003;017;000;000;0000;Area;201
Северобайкальский;р-н;0003;017;000;000;0000;Area;201
Селенгинский;р-н;0003;018;000;000;0000;Area;201
Тарбагатайский;р-н;0003;019;000;000;0000;Area;201
Тункинский;р-н;0003;020;000;000;0000;Area;201
Хоринский;р-н;0003;021;000;000;0000;Area;201
Баргузинский;р-н;0003;022;000;000;0000;Area;201
Кош-Агачский;р-н;0004;002;000;000;0000;Area;201
Майминский;р-н;0004;003;000;000;0000;Area;201
Онгудайский;р-н;0004;004;000;000;0000;Area;201
Турочакский;р-н;0004;005;000;000;0000;Area;201
Турачакский;р-н;0004;005;000;000;0000;Area;201
Улаганский;р-н;0004;006;000;000;0000;Area;201
Усть-Канский;р-н;0004;007;000;000;0000;Area;201
Усть-Коксинский;р-н;0004;008;000;000;0000;Area;201
Чемальский;р-н;0004;009;000;000;0000;Area;201
Чойский;р-н;0004;010;000;000;0000;Area;201
Шебалинский;р-н;0004;011;000;000;0000;Area;201
Агульский;р-н;0005;002;000;000;0000;Area;201
Акушинский;р-н;0005;003;000;000;0000;Area;201
Ахвахский;р-н;0005;004;000;000;0000;Area;201
Ахтынский;р-н;0005;005;000;000;0000;Area;201
Бабаюртовский;р-н;0005;006;000;000;0000;Area;201
Ботлихский;р-н;0005;007;000;000;0000;Area;201
Буйнакский;р-н;0005;008;000;000;0000;Area;201
Гергебильский;р-н;0005;009;000;000;0000;Area;201
Гумбетовский;р-н;0005;010;000;000;0000;Area;201
Гунибский;р-н;0005;011;000;000;0000;Area;201
Дахадаевский;р-н;0005;012;000;000;0000;Area;201
Дербентский;р-н;0005;013;000;000;0000;Area;201
Докузпаринский;р-н;0005;014;000;000;0000;Area;201
Казбековский;р-н;0005;015;000;000;0000;Area;201
Кайтагский;р-н;0005;016;000;000;0000;Area;201
Карабудахкентский;р-н;0005;017;000;000;0000;Area;201
Каякентский;р-н;0005;018;000;000;0000;Area;201
Кизилюртовский;р-н;0005;019;000;000;0000;Area;201
Кизлярский;р-н;0005;020;000;000;0000;Area;201
Кулинский;р-н;0005;022;000;000;0000;Area;201
Кумторкалинский;р-н;0005;023;000;000;0000;Area;201
Курахский;р-н;0005;024;000;000;0000;Area;201
Лакский;р-н;0005;025;000;000;0000;Area;201
Левашинский;р-н;0005;026;000;000;0000;Area;201
Магарамкентский;р-н;0005;027;000;000;0000;Area;201
