Cod_bank;Name_bank;Name_okato;Name_osb;Cod_osb;Filial;Nas_punkt;Adress;prim;mbk
67;Западно-Сибирский банк;Омская область;Омское ОСБ;8634;154;г. Омск;ул. Челюскинцев, 83;;1
67;Западно-Сибирский банк;Омская область;Омское ОСБ;8634;156;г. Омск;пр. Космический, 1;;1
67;Западно-Сибирский банк;Омская область;Омское ОСБ;8634;161;г. Омск;ул. Чернышевского, 3;;1
67;Западно-Сибирский банк;Омская область;Омское ОСБ;8634;167;г. Омск;ул. 22 Партсъезда, 5;;1
67;Западно-Сибирский банк;Омская область;Омское ОСБ;8634;174;г. Омск;ул. 33 Северная, 40а;;1
67;Западно-Сибирский банк;Омская область;Омское ОСБ;8634;176;г. Омск;ст. Входная, 3;;1
67;Западно-Сибирский банк;Омская область;Омское ОСБ;8634;177;г. Омск;2-я Любинская, 2а;;1
67;Западно-Сибирский банк;Омская область;Омское ОСБ;8634;179;г. Омск;ул. Мельничная, 96;;1
67;Западно-Сибирский банк;Омская область;Омское ОСБ;8634;182;г. Омск;пр. Мира, 36;;1
67;Западно-Сибирский банк;Омская область;Омское ОСБ;8634;183;г. Омск;ул. 50 лет Профсоюзов, 4;;1
67;Западно-Сибирский банк;Омская область;Омское ОСБ;8634;184;г. Омск;ул. Нефтезаводская, 15;;1
67;Западно-Сибирский банк;Омская область;Омское ОСБ;8634;185;г. Омск;ул. Химиков, 46;;1
67;Западно-Сибирский банк;Омская область;Омское ОСБ;8634;186;г. Омск;пр. Космический, 101;;1
67;Западно-Сибирский банк;Омская область;Омское ОСБ;8634;187;г. Омск;ул. Багратиона, 23, к.1;;1
67;Западно-Сибирский банк;Омская область;Омское ОСБ;8634;188;г. Омск;ул. Попова, 11;;1
67;Западно-Сибирский банк;Омская область;Омское ОСБ;8634;191;г. Омск;ул. 2 Поселковая, 12;;1
67;Западно-Сибирский банк;Омская область;Омское ОСБ;8634;192;г. Омск;ул. Коммунальная, 15;;1
67;Западно-Сибирский банк;Омская область;Омское ОСБ;8634;194;г. Омск;ул. Бархатовой, 8;;1
67;Западно-Сибирский банк;Омская область;Омское ОСБ;8634;195;г. Омск;пр. Мира, 43;;1
67;Западно-Сибирский банк;Омская область;Омское ОСБ;8634;196;г. Омск;ул. Ватутина, 5, к.Б;;1
67;Западно-Сибирский банк;Омская область;Омское ОСБ;8634;197;г. Омск;ул. Лукашевича, 10В;;1
67;Западно-Сибирский банк;Омская область;Омское ОСБ;8634;200;г. Омск;ул. Стрельникова, 6;;1
67;Западно-Сибирский банк;Омская область;Омское ОСБ;8634;201;г. Омск;ул. Белозерова, 3;;1
67;Западно-Сибирский банк;Омская область;Омское ОСБ;8634;202;г. Омск;ул. Лермонтова, 20;;1
67;Западно-Сибирский банк;Омская область;Омское ОСБ;8634;205;г. Омск;ул. Дианова, 7в;;1
67;Западно-Сибирский банк;Омская область;Омское ОСБ;8634;206;г. Омск;ул. Б.Хмельницкого, 214;;1
67;Западно-Сибирский банк;Омская область;Омское ОСБ;8634;207;г. Омск;ул. Моторная, 11;;1
67;Западно-Сибирский банк;Омская область;Омское ОСБ;8634;208;г. Омск;Сибирский пр., 2/1;;1
67;Западно-Сибирский банк;Омская область;Омское ОСБ;8634;210;г. Омск;ул. Иркутская, 70/1;;1
67;Западно-Сибирский банк;Омская область;Омское ОСБ;8634;212;г. Омск;ул. Степанца, 10, к.3;;1
67;Западно-Сибирский банк;Омская область;Омское ОСБ;8634;213;г. Омск;ул. 4-я Кордная, 44;;1
67;Западно-Сибирский банк;Омская область;Омское ОСБ;8634;217;г. Омск;бул. Архитекторов, 5;;1
67;Западно-Сибирский банк;Омская область;Омское ОСБ;8634;220;г. Омск;ул. Конева, 20, к.1;;1
67;Западно-Сибирский банк;Омская область;Омское ОСБ;8634;223;г. Омск;ул. Товстухо, 1А;;1
67;Западно-Сибирский банк;Омская область;Омское ОСБ;8634;224;г. Омск;ул. 50 лет Профсоюзов, 111;;1
67;Западно-Сибирский банк;Омская область;Омское ОСБ;8634;227;г. Омск;ул. Масленникова, 62;;1
67;Западно-Сибирский банк;Омская область;Омское ОСБ;8634;228;г. Омск;ул. Профинтерна, 4;;1
67;Западно-Сибирский банк;Омская область;Омское ОСБ;8634;230;г. Омск;ул. Челюскинцев, 97;;1
67;Западно-Сибирский банк;Омская область;Омское ОСБ;8634;231;г. Омск;ул. Орджоникидзе, 56;;1
67;Западно-Сибирский банк;Омская область;Омское ОСБ;8634;232;г. Омск;пр. Маркса, 64;;1
67;Западно-Сибирский банк;Омская область;Омское ОСБ;8634;233;г. Омск;ул. 15-ая рабочая, 24;;1
67;Западно-Сибирский банк;Омская область;Омское ОСБ;8634;234;г. Омск;ул. Красный путь, 11;;1
67;Западно-Сибирский банк;Омская область;Омское ОСБ;8634;235;с. Азово;пл. Возрождения, 1;;1
67;Западно-Сибирский банк;Омская область;Омское ОСБ;8634;237;г. Омск;ул. Краснознаменая, 26, к. 3;;1
67;Западно-Сибирский банк;Омская область;Омское ОСБ;8634;238;г. Омск;ул. Лисицкого, 3а;;1
67;Западно-Сибирский банк;Омская область;Омское ОСБ;8634;239;г. Омск;ул. Крупской, 25, к.1;;1
67;Западно-Сибирский банк;Омская область;Омское ОСБ;8634;241;г. Омск;ул. Взлетная, 3б;;1
67;Западно-Сибирский банк;Омская область;Омское ОСБ;8634;242;г. Омск;ул. Фрунзе, 1;;1
67;Западно-Сибирский банк;Омская область;Омское ОСБ;8634;243;г. Омск;ул. Нефтезаводская, 28, к. 2;;1
67;Западно-Сибирский банк;Омская область;Омское ОСБ;8634;244;г. Омск;пр-т Менделеева, 44/1;;1
